ID,Contenitore,Categoria,Lat,Long,LDCN,PRCD,Scheda_Chiesa,Numero opere,Link_StorieMemorie,Link_OrigineBologna,Link_BibSalaBorsa,Link_Wiki,Link_GenusBononiae,Link_CentroFasoli,Link_Archiginnasio,Link_Carisbo,Link_Beweb,Link_CatBBCC,Link_Chiese_ita,Link_ASP,Link_cittàmetr_BO,Link_portici di Bologna,Path
1,Basilica di S. Antonio da Padova,Conventi e monasteri,44.486114,11.359123,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Antonio%20da%20Padova&page=1&filtrolocalizzazione_OA=5412%7C6107,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/124827/,19,,,https://www.bibliotecasalaborsa.it/bolognaonline/cronologia-di-bologna/1904/la_basilica_di_santantonio_da_padova,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/67103/Basilica+di+Sant%27Antonio+da+Padova,,,,,,sant-antonio-da-padova.jpg
2,Basilica dei SS. Bartolomeo e Gaetano,Basiliche e cattedrali,44.494217,11.347378,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20dei%20SS.%20Bartolomeo%20e%20Gaetano&page=1&filtrolocalizzazione_OA=5412%7C6151,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20dei%20SS.%20Bartolomeo%20e%20Gaetano&page=1&filtroprovenienza_OA=5412%7C8265,,16,https://www.storiaememoriadibologna.it/archivio/luoghi/chiesa-dei-santi-bartolomeo-e-gaetano,,,https://it.wikipedia.org/wiki/Basilica_dei_Santi_Bartolomeo_e_Gaetano,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64637/Basilica+dei+Santi+Bartolomeo+e+Gaetano,,,,,,
3,Basilica di S. Domenico,Basiliche e cattedrali,44.489449,11.344612,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Domenico&page=1&filtrolocalizzazione_OA=5412%7C165,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Domenico&page=1&filtroprovenienza_OA=5412%7C165,https://catalogo.fondazionezeri.unibo.it/scheda/opera/120033/,132,https://www.storiaememoriadibologna.it/archivio/luoghi/basilica-di-san-domenico,,,https://it.wikipedia.org/wiki/Basilica_patriarcale_di_San_Domenico,,,,,,,,,,,san-domenico.jpg
4,Convento di S. Domenico,Conventi e monasteri,44.489449,11.344612,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Domenico&page=1&filtrolocalizzazione_OA=5412%7C1112,,,8,,,,,,,,,,,,,,,
5,Museo di S. Domenico,Musei,44.489449,11.344612,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Museo%20di%20S.%20Domenico&page=1&filtrolocalizzazione_OA=5412%7C8300,,,10,,,,,,,,,,,,,https://www.cittametropolitana.bo.it/cultura/guidaMusei/Museo_della_Basilica_di_San_Domenico,,
6,Basilica di S. Francesco,Basiliche e cattedrali,44.494736,11.335646,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Francesco&page=1&filtrolocalizzazione_OA=5412%7C259,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Francesco&page=1&filtroprovenienza_OA=5412%7C259,https://catalogo.fondazionezeri.unibo.it/scheda/opera/117612/,51,https://www.storiaememoriadibologna.it/archivio/luoghi/basilica-di-san-francesco,https://www.originebologna.com/strade/seliciata-di-san-francesco-1/n-1105-1106/,,,,,,,,,,,,,san-francesco.jpg
7,Convento di S. Francesco,Conventi e monasteri,44.494736,11.335646,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Francesco&page=1&filtrolocalizzazione_OA=5412%7C279,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Francesco&page=1&filtroprovenienza_OA=5412%7C279,,19,,,,,,,,,,,,,,,
8,Basilica di S. Giacomo Maggiore,Basiliche e cattedrali,44.495535,11.349293,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Giacomo%20Maggiore&page=1&filtrolocalizzazione_OA=5412%7C6152,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Giacomo%20Maggiore&page=1&filtroprovenienza_OA=5412%7C8270,https://catalogo.fondazionezeri.unibo.it/scheda/opera/121255/,158,https://www.storiaememoriadibologna.it/archivio/luoghi/chiesa-di-san-giacomo-maggiore,,,https://it.wikipedia.org/wiki/Basilica_di_San_Giacomo_Maggiore,,,,,,,,,,,san-giacomo.jpg
9,Convento di S. Giacomo Maggiore,Conventi e monasteri,44.495535,11.349293,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Giacomo%20Maggiore&page=1&filtrolocalizzazione_OA=5412%7C3301,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Giacomo%20Maggiore&page=1&filtroprovenienza_OA=5412%7C7297,,7,,,,,,,,,,,,,,,
10,Basilica di S. Maria dei Servi,Basiliche e cattedrali,44.491584,11.352640,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Maria%20dei%20Servi&page=1&filtrolocalizzazione_OA=5412%7C10036,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/118873/,71,,https://www.originebologna.com/strade/strada-maggiore/n-279-280/,,,,,,,,,,,,,santa-maria-dei-servi.jpg
